Date,Client2Oar,Oar2Client,Client2OarDrops,Oar2ClientDrops,Subscription,Burst
Fri Jul 14 16:30:00 2023,239042944,1156572736,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 16:35:00 2023,245588264,1049752312,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 16:40:00 2023,305671216,1225000792,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 16:45:00 2023,244696696,1056448552,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 16:50:00 2023,233752248,1079620520,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 16:55:00 2023,250729856,1031053632,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 17:00:00 2023,216354096,996489512,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 17:05:00 2023,336825544,835309256,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 17:10:00 2023,280517984,716192776,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 17:15:00 2023,159080992,709847200,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 17:20:00 2023,159699448,670639624,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 17:25:00 2023,176048240,728452584,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 17:30:00 2023,147189416,737742336,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 17:35:00 2023,173446056,584585416,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 17:40:00 2023,172371976,663260544,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 17:45:00 2023,187085888,607016768,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 17:50:00 2023,167184184,671095256,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 17:55:00 2023,163808216,615343832,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 18:00:00 2023,152738928,590010272,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 18:05:00 2023,196898792,667377416,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 18:10:00 2023,192941392,622827784,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 18:15:00 2023,265541776,677079920,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 18:20:00 2023,183743336,715450872,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 18:25:00 2023,159056736,686429720,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 18:30:00 2023,174242216,656869056,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 18:35:00 2023,241806632,569890896,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 18:40:00 2023,214421712,577662952,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 18:45:00 2023,162572152,586091000,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 18:50:00 2023,169369400,595996312,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 18:55:00 2023,162287760,582743696,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 19:00:00 2023,149619960,614221128,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 19:05:00 2023,148004688,689249688,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 19:10:00 2023,129862656,604813088,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 19:15:00 2023,142126672,660063800,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 19:20:00 2023,169407512,720479168,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 19:25:00 2023,173857056,708462144,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 19:30:00 2023,153696416,725482848,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 19:35:00 2023,161468448,870033992,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 19:40:00 2023,204752656,846311144,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 19:45:00 2023,154124360,743051992,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 19:50:00 2023,164145576,702406064,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 19:55:00 2023,122416672,704069184,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 20:00:00 2023,129125392,666815256,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 20:05:00 2023,124242800,810982296,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 20:10:00 2023,112241224,850440152,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 20:15:00 2023,118192800,721356992,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 20:20:00 2023,137539520,731873248,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 20:25:00 2023,142933976,716972304,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 20:30:00 2023,111905312,708850040,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 20:35:00 2023,112393728,759090552,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 20:40:00 2023,122051112,776837568,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 20:45:00 2023,119238040,666499088,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 20:50:00 2023,136236312,708426840,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 20:55:00 2023,170310720,701024992,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 21:00:00 2023,142088192,550298048,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 21:05:00 2023,118474696,644952256,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 21:10:00 2023,114536024,795424280,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 21:15:00 2023,119032792,779458048,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 21:20:00 2023,116232104,742858904,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 21:25:00 2023,135997664,749265704,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 21:30:00 2023,121489792,707272784,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 21:35:00 2023,118323512,707609888,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 21:40:00 2023,127930872,588944088,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 21:45:00 2023,127018048,622989288,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 21:50:00 2023,139253824,627636496,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 21:55:00 2023,114412872,630456512,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 22:00:00 2023,125524680,653507120,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 22:05:00 2023,112186688,647606632,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 22:10:00 2023,102384976,615644840,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 22:15:00 2023,138921080,864553720,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 22:20:00 2023,112947712,661940368,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 22:25:00 2023,118672024,662929000,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 22:30:00 2023,109408552,695217224,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 22:35:00 2023,116189976,717164280,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 22:40:00 2023,107889720,666205144,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 22:45:00 2023,127761248,809035640,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 22:50:00 2023,134719312,902556760,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 22:55:00 2023,133556848,1012008136,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 23:00:00 2023,141510152,1016061728,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 23:05:00 2023,130352728,1031521056,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 23:10:00 2023,129972952,1003233240,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 23:15:00 2023,142799984,990796800,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 23:20:00 2023,132973384,978329736,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 23:25:00 2023,149992104,996508744,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 23:30:00 2023,146781512,904525808,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 23:35:00 2023,129529632,888700304,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 23:40:00 2023,114267752,752009552,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 23:45:00 2023,117673144,678153904,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 23:50:00 2023,118863496,690842744,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 23:55:00 2023,119833096,689439384,20100000000,20100000000,20000000000,20100000000
Sat Jul 15 00:00:00 2023,114371360,667818904,20100000000,20100000000,20000000000,20100000000
Sat Jul 15 00:05:00 2023,108543928,702955248,20100000000,20100000000,20000000000,20100000000
Sat Jul 15 00:10:00 2023,101409752,895082176,20100000000,20100000000,20000000000,20100000000
Sat Jul 15 00:15:00 2023,114657992,854238304,20100000000,20100000000,20000000000,20100000000
Sat Jul 15 00:20:00 2023,110104272,612296528,20100000000,20100000000,20000000000,20100000000
Sat Jul 15 00:25:00 2023,285816808,643307080,20100000000,20100000000,20000000000,20100000000
Sat Jul 15 00:30:00 2023,180784416,519678800,20100000000,20100000000,20000000000,20100000000
Sat Jul 15 00:35:00 2023,99716776,507089872,20100000000,20100000000,20000000000,20100000000
Sat Jul 15 00:40:00 2023,125879104,488912472,20100000000,20100000000,20000000000,20100000000
Sat Jul 15 00:45:00 2023,200112912,570919856,20100000000,20100000000,20000000000,20100000000
Sat Jul 15 00:50:00 2023,257823592,601306072,20100000000,20100000000,20000000000,20100000000
Sat Jul 15 00:55:00 2023,464954528,532425400,20100000000,20100000000,20000000000,20100000000
