Date,Client2Oar,Oar2Client,Client2OarDrops,Oar2ClientDrops,Subscription,Burst
Fri Jul 14 17:00:00 2023,25078536,65944,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 17:05:00 2023,17690752,478928,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 17:10:00 2023,11298640,648608,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 17:15:00 2023,9257936,222736,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 17:20:00 2023,8198216,117520,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 17:25:00 2023,8975696,92392,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 17:30:00 2023,11633376,757160,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 17:35:00 2023,20128600,212264,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 17:40:00 2023,85599880,51440,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 17:45:00 2023,30729528,105304,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 17:50:00 2023,7725400,56304,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 17:55:00 2023,7909272,39216,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 18:00:00 2023,8271624,402680,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 18:05:00 2023,8427136,213880,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 18:10:00 2023,9996400,155128,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 18:15:00 2023,11392512,85552,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 18:20:00 2023,8033656,237560,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 18:25:00 2023,9498384,1518288,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 18:30:00 2023,13404632,122088,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 18:35:00 2023,12110808,856560,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 18:40:00 2023,8221200,274264,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 18:45:00 2023,6981448,583568,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 18:50:00 2023,7072488,204152,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 18:55:00 2023,6273928,75688,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 19:00:00 2023,7400072,266856,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 19:05:00 2023,13851496,189776,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 19:10:00 2023,9710736,73712,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 19:15:00 2023,10508600,123912,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 19:20:00 2023,11142704,1224640,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 19:25:00 2023,6348856,1630120,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 19:30:00 2023,6811624,2343728,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 19:35:00 2023,7308664,2944944,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 19:40:00 2023,12467168,3091936,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 19:45:00 2023,22231520,420376,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 19:50:00 2023,6527576,115424,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 19:55:00 2023,6304368,118488,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 20:00:00 2023,8296624,174984,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 20:05:00 2023,6904720,247872,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 20:10:00 2023,441306528,87328,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 20:15:00 2023,336157392,2129616,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 20:20:00 2023,192339304,185696,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 20:25:00 2023,36603440,3165424,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 20:30:00 2023,8273072,2268440,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 20:35:00 2023,35949008,1515552,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 20:40:00 2023,10719320,1810968,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 20:45:00 2023,138333984,3442504,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 20:50:00 2023,11272248,2324312,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 20:55:00 2023,13635960,1752944,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 21:00:00 2023,9187664,2547136,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 21:05:00 2023,6143928,3630840,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 21:10:00 2023,330191176,3822368,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 21:15:00 2023,565696032,4939128,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 21:20:00 2023,449283736,288848,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 21:25:00 2023,388980040,240032,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 21:30:00 2023,776385760,2827544,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 21:35:00 2023,5462120,2997120,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 21:40:00 2023,236878128,1793080,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 21:45:00 2023,7104528,488624,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 21:50:00 2023,53006504,4913368,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 21:55:00 2023,6412272,3723424,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 22:00:00 2023,7154328,12992728,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 22:05:00 2023,6497120,13509032,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 22:10:00 2023,6730544,6811288,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 22:15:00 2023,5670136,4747344,15075000000,15075000000,15000000000,15075000000
Fri Jul 14 22:20:00 2023,51125232,11881184,15075000000,15075000000,15000000000,15075000000
