Date,Client2Oar,Oar2Client,Client2OarDrops,Oar2ClientDrops,Subscription,Burst
Fri Jul 14 15:55:00 2023,425384,823176,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 16:00:00 2023,638152,1000528,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 16:05:00 2023,374600,646752,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 16:10:00 2023,29297568,1204280,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 16:15:00 2023,622824,29301688,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 16:20:00 2023,346240,750424,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 16:25:00 2023,128161416,1031312,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 16:30:00 2023,7358576,28726040,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 16:35:00 2023,1020576,30274152,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 16:40:00 2023,671920,52694208,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 16:45:00 2023,532744,32870160,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 16:50:00 2023,277744,775872,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 16:55:00 2023,564888,680488,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 17:00:00 2023,307944,783504,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 17:05:00 2023,502336,251678824,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 17:10:00 2023,263040,771704,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 17:15:00 2023,250608,743768,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 17:20:00 2023,255896,576152,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 17:25:00 2023,250272,582904,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 17:30:00 2023,243376,568128,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 17:35:00 2023,29775376,48335688,20100000000,20100000000,20000000000,20100000000
Fri Jul 14 17:40:00 2023,262168,575240,20100000000,20100000000,20000000000,20100000000
